Place,Type_of_Crime,Year
Perambur,Theft / Robbery,2020
Thiruvanmiyur,Kidnapping / Abduction,2024
Medavakkam,Assault / Attack,2023
Perambur,Theft / Robbery,2024
Vadapalani,Assault / Attack,2024
Nungambakkam,Other Crime,2022
Besant Nagar,Assault / Attack,2022
Tambaram,Chain Snatching / Theft,2025
Perambur,Theft / Robbery,2025
Nungambakkam,Rape / Sexual Assault,2021
Thiruvanmiyur,Theft / Robbery,2020
Koyambedu,Assault / Attack,2025
Royapettah,Theft / Robbery,2022
Tambaram,Murder,2024
Egmore,Chain Snatching / Theft,2023
Purasawalkam,Chain Snatching / Theft,2021
Porur,Harassment / Cyber‑crime,2024
Nungambakkam,Theft / Robbery,2024
Saidapet,Rape / Sexual Assault,2022
Thiruvanmiyur,Rape / Sexual Assault,2023
Sholinganallur,Harassment / Cyber‑crime,2025
Purasawalkam,Chain Snatching / Theft,2024
Alandur,Assault / Attack,2020
Porur,Rape / Sexual Assault,2024
Perambur,Assault / Attack,2025
Medavakkam,Theft / Robbery,2025
Mylapore,Theft / Robbery,2024
Guindy,Harassment / Cyber‑crime,2021
Saidapet,Harassment / Cyber‑crime,2025
Kodambakkam,Rape / Sexual Assault,2024
Nungambakkam,Murder,2020
Urapakkam,Other Crime,2023
Pallavaram,Theft / Robbery,2022
Egmore,Rape / Sexual Assault,2024
Chromepet,Theft / Robbery,2022
Koyambedu,Murder,2024
Nungambakkam,Theft / Robbery,2026
Ashok Nagar,Chain Snatching / Theft,2025
Vadapalani,Theft / Robbery,2026
Urapakkam,Assault / Attack,2026
Besant Nagar,Harassment / Cyber‑crime,2020
Teynampet,Assault / Attack,2024
Anna Nagar,Chain Snatching / Theft,2023
Kodambakkam,Chain Snatching / Theft,2025
Teynampet,Murder,2022
Koyambedu,Kidnapping / Abduction,2026
Teynampet,Assault / Attack,2024
Chepauk,Other Crime,2025
Chromepet,Assault / Attack,2020
Kodambakkam,Other Crime,2021
Porur,Kidnapping / Abduction,2025
Kodambakkam,Theft / Robbery,2020
Chepauk,Assault / Attack,2025
Nungambakkam,Other Crime,2020
Sholinganallur,Chain Snatching / Theft,2024
Nungambakkam,Rape / Sexual Assault,2023
Royapettah,Harassment / Cyber‑crime,2024
Teynampet,Theft / Robbery,2024
Royapettah,Murder,2022
T Nagar,Assault / Attack,2021
Anna Nagar,Theft / Robbery,2020
Chepauk,Chain Snatching / Theft,2024
Koyambedu,Theft / Robbery,2024
Kodambakkam,Chain Snatching / Theft,2025
Perambur,Murder,2024
Alandur,Theft / Robbery,2023
Koyambedu,Theft / Robbery,2023
Chetpet,Theft / Robbery,2020
Royapettah,Rape / Sexual Assault,2022
Royapettah,Theft / Robbery,2026
Thiruvanmiyur,Assault / Attack,2025
Royapettah,Theft / Robbery,2022
Medavakkam,Assault / Attack,2024
Mambalam,Theft / Robbery,2025
Ashok Nagar,Chain Snatching / Theft,2023
Mambalam,Chain Snatching / Theft,2020
Perambur,Assault / Attack,2020
Kodambakkam,Theft / Robbery,2024
Chepauk,Rape / Sexual Assault,2026
Ashok Nagar,Other Crime,2024
Vadapalani,Rape / Sexual Assault,2020
Porur,Theft / Robbery,2021
Kodambakkam,Theft / Robbery,2025
Guindy,Theft / Robbery,2025
Chepauk,Theft / Robbery,2024
Saidapet,Kidnapping / Abduction,2024
Chromepet,Rape / Sexual Assault,2020
Ashok Nagar,Harassment / Cyber‑crime,2025
Alandur,Rape / Sexual Assault,2025
Adyar,Rape / Sexual Assault,2022
Nungambakkam,Chain Snatching / Theft,2025
Pallavaram,Theft / Robbery,2022
Chepauk,Chain Snatching / Theft,2020
Tambaram,Assault / Attack,2022
Nungambakkam,Rape / Sexual Assault,2021
Medavakkam,Other Crime,2022
Teynampet,Theft / Robbery,2023
Kodambakkam,Chain Snatching / Theft,2024
Vadapalani,Theft / Robbery,2023
Pallavaram,Chain Snatching / Theft,2022
Tambaram,Murder,2020
Nungambakkam,Assault / Attack,2024
Kodambakkam,Kidnapping / Abduction,2023
T Nagar,Chain Snatching / Theft,2022
Chetpet,Chain Snatching / Theft,2025
Pallavaram,Chain Snatching / Theft,2025
Adyar,Chain Snatching / Theft,2025
Perambur,Theft / Robbery,2023
Chromepet,Theft / Robbery,2021
Mylapore,Theft / Robbery,2024
Anna Nagar,Theft / Robbery,2022
Egmore,Theft / Robbery,2023
T Nagar,Assault / Attack,2020
Chetpet,Theft / Robbery,2025
Thiruvanmiyur,Harassment / Cyber‑crime,2021
Chromepet,Theft / Robbery,2026
Royapettah,Theft / Robbery,2025
Saidapet,Assault / Attack,2023
Adyar,Kidnapping / Abduction,2025
Perambur,Harassment / Cyber‑crime,2024
Mylapore,Harassment / Cyber‑crime,2025
Medavakkam,Theft / Robbery,2023
Teynampet,Assault / Attack,2025
Besant Nagar,Rape / Sexual Assault,2023
Kodambakkam,Theft / Robbery,2026
Mambalam,Assault / Attack,2023
Purasawalkam,Murder,2023
Koyambedu,Theft / Robbery,2025
Porur,Other Crime,2025
Vadapalani,Other Crime,2024
Urapakkam,Theft / Robbery,2021
Vadapalani,Murder,2023
Egmore,Theft / Robbery,2026
Mylapore,Theft / Robbery,2025
Teynampet,Chain Snatching / Theft,2025
Thiruvanmiyur,Rape / Sexual Assault,2020
Pallavaram,Kidnapping / Abduction,2023
Mylapore,Rape / Sexual Assault,2024
Kodambakkam,Other Crime,2025
Royapettah,Theft / Robbery,2020
Porur,Kidnapping / Abduction,2025
Teynampet,Theft / Robbery,2024
Mambalam,Harassment / Cyber‑crime,2021
Chromepet,Theft / Robbery,2022
Besant Nagar,Rape / Sexual Assault,2022
Teynampet,Chain Snatching / Theft,2024
Chepauk,Chain Snatching / Theft,2020
Medavakkam,Chain Snatching / Theft,2021
Purasawalkam,Harassment / Cyber‑crime,2025
Tambaram,Chain Snatching / Theft,2021
Nungambakkam,Rape / Sexual Assault,2022
Ashok Nagar,Theft / Robbery,2023
Velachery,Theft / Robbery,2024
Kodambakkam,Harassment / Cyber‑crime,2025
Teynampet,Theft / Robbery,2023
Koyambedu,Rape / Sexual Assault,2025
Purasawalkam,Assault / Attack,2024
Nungambakkam,Chain Snatching / Theft,2021
Guindy,Theft / Robbery,2021
Adyar,Rape / Sexual Assault,2023
T Nagar,Theft / Robbery,2023
Nungambakkam,Theft / Robbery,2025
Mylapore,Theft / Robbery,2024
Mambalam,Harassment / Cyber‑crime,2023
Guindy,Harassment / Cyber‑crime,2021
T Nagar,Harassment / Cyber‑crime,2022
Alandur,Theft / Robbery,2024
Velachery,Chain Snatching / Theft,2023
Mambalam,Theft / Robbery,2024
Teynampet,Assault / Attack,2021
Nungambakkam,Chain Snatching / Theft,2024
Koyambedu,Theft / Robbery,2025
Chromepet,Rape / Sexual Assault,2022
Medavakkam,Chain Snatching / Theft,2023
Egmore,Theft / Robbery,2026
Medavakkam,Harassment / Cyber‑crime,2022
Adyar,Murder,2024
Anna Nagar,Harassment / Cyber‑crime,2020
Alandur,Theft / Robbery,2024
Thiruvanmiyur,Rape / Sexual Assault,2020
Guindy,Harassment / Cyber‑crime,2026
Velachery,Theft / Robbery,2025
Guindy,Theft / Robbery,2025
Pallavaram,Rape / Sexual Assault,2025
Mylapore,Rape / Sexual Assault,2024
Royapettah,Theft / Robbery,2023
Anna Nagar,Rape / Sexual Assault,2025
Porur,Chain Snatching / Theft,2026
Ashok Nagar,Murder,2023
Mylapore,Assault / Attack,2026
Royapettah,Rape / Sexual Assault,2024
Velachery,Theft / Robbery,2024
Egmore,Chain Snatching / Theft,2023
Chetpet,Theft / Robbery,2022
Anna Nagar,Other Crime,2020
Egmore,Theft / Robbery,2022
Velachery,Harassment / Cyber‑crime,2024
Chromepet,Assault / Attack,2023
Mylapore,Chain Snatching / Theft,2023
Egmore,Assault / Attack,2026
Chetpet,Assault / Attack,2023
Urapakkam,Theft / Robbery,2023
Sholinganallur,Theft / Robbery,2021
Guindy,Chain Snatching / Theft,2020
Royapettah,Theft / Robbery,2025
Anna Nagar,Theft / Robbery,2024
Ashok Nagar,Kidnapping / Abduction,2025
Nungambakkam,Theft / Robbery,2021
Adyar,Other Crime,2024
Koyambedu,Harassment / Cyber‑crime,2022
Porur,Assault / Attack,2022
Perambur,Chain Snatching / Theft,2020
Vadapalani,Murder,2021
Chetpet,Theft / Robbery,2022
Saidapet,Assault / Attack,2021
Kodambakkam,Theft / Robbery,2026
Urapakkam,Harassment / Cyber‑crime,2022
Urapakkam,Chain Snatching / Theft,2021
Vadapalani,Assault / Attack,2021
Chetpet,Theft / Robbery,2024
Saidapet,Other Crime,2020
Anna Nagar,Assault / Attack,2025
Chromepet,Assault / Attack,2026
Saidapet,Theft / Robbery,2022
Anna Nagar,Chain Snatching / Theft,2023
Guindy,Assault / Attack,2020
Sholinganallur,Kidnapping / Abduction,2024
Mylapore,Chain Snatching / Theft,2023
Saidapet,Theft / Robbery,2022
Urapakkam,Assault / Attack,2022
Koyambedu,Chain Snatching / Theft,2024
Chetpet,Theft / Robbery,2023
Medavakkam,Kidnapping / Abduction,2021
Tambaram,Chain Snatching / Theft,2024
Guindy,Harassment / Cyber‑crime,2024
Royapettah,Harassment / Cyber‑crime,2025
Adyar,Chain Snatching / Theft,2021
Sholinganallur,Chain Snatching / Theft,2025
Guindy,Theft / Robbery,2024
Chepauk,Rape / Sexual Assault,2021
Anna Nagar,Assault / Attack,2024
T Nagar,Harassment / Cyber‑crime,2023
Vadapalani,Assault / Attack,2026
Urapakkam,Harassment / Cyber‑crime,2021
Thiruvanmiyur,Theft / Robbery,2024
Sholinganallur,Harassment / Cyber‑crime,2023
Velachery,Theft / Robbery,2026
Royapettah,Harassment / Cyber‑crime,2022
Pallavaram,Assault / Attack,2026
Guindy,Theft / Robbery,2026
Teynampet,Theft / Robbery,2022
T Nagar,Harassment / Cyber‑crime,2025
Thiruvanmiyur,Assault / Attack,2026
Saidapet,Theft / Robbery,2022
Anna Nagar,Other Crime,2023
Velachery,Harassment / Cyber‑crime,2024
Sholinganallur,Other Crime,2022
Egmore,Assault / Attack,2020
Porur,Assault / Attack,2022
Purasawalkam,Chain Snatching / Theft,2022
Nungambakkam,Assault / Attack,2023
T Nagar,Harassment / Cyber‑crime,2021
Chetpet,Theft / Robbery,2025
Pallavaram,Assault / Attack,2025
Koyambedu,Rape / Sexual Assault,2020
Egmore,Theft / Robbery,2024
Mambalam,Murder,2024
Thiruvanmiyur,Murder,2026
Egmore,Other Crime,2020
Alandur,Theft / Robbery,2022
Vadapalani,Harassment / Cyber‑crime,2026
Mambalam,Chain Snatching / Theft,2026
T Nagar,Assault / Attack,2025
Besant Nagar,Theft / Robbery,2025
Mylapore,Harassment / Cyber‑crime,2020
Sholinganallur,Harassment / Cyber‑crime,2024
Urapakkam,Harassment / Cyber‑crime,2022
Chetpet,Kidnapping / Abduction,2021
Ashok Nagar,Other Crime,2025
Nungambakkam,Assault / Attack,2021
Pallavaram,Theft / Robbery,2023
Chetpet,Harassment / Cyber‑crime,2026
Velachery,Rape / Sexual Assault,2021
Mylapore,Chain Snatching / Theft,2026
Royapettah,Rape / Sexual Assault,2026
Besant Nagar,Theft / Robbery,2024
Perambur,Chain Snatching / Theft,2021
Royapettah,Assault / Attack,2022
Medavakkam,Theft / Robbery,2023
Adyar,Assault / Attack,2022
Sholinganallur,Chain Snatching / Theft,2022
Kodambakkam,Theft / Robbery,2026
Anna Nagar,Chain Snatching / Theft,2021
Perambur,Rape / Sexual Assault,2025
Chromepet,Kidnapping / Abduction,2020
Kodambakkam,Chain Snatching / Theft,2024
Velachery,Theft / Robbery,2026
Pallavaram,Assault / Attack,2022
Koyambedu,Theft / Robbery,2021
Mylapore,Harassment / Cyber‑crime,2024
Urapakkam,Assault / Attack,2025
Chepauk,Harassment / Cyber‑crime,2024
Kodambakkam,Theft / Robbery,2022
Urapakkam,Theft / Robbery,2022
Purasawalkam,Murder,2026
Velachery,Theft / Robbery,2026
Mylapore,Assault / Attack,2023
Saidapet,Chain Snatching / Theft,2025
Teynampet,Harassment / Cyber‑crime,2023
Sholinganallur,Assault / Attack,2023
Purasawalkam,Other Crime,2021
Mambalam,Harassment / Cyber‑crime,2023
Perambur,Chain Snatching / Theft,2024
Thiruvanmiyur,Assault / Attack,2020
Mylapore,Theft / Robbery,2023
Egmore,Rape / Sexual Assault,2025
Alandur,Harassment / Cyber‑crime,2024
Egmore,Rape / Sexual Assault,2024
Mylapore,Theft / Robbery,2026
Pallavaram,Assault / Attack,2020
Purasawalkam,Assault / Attack,2024
Sholinganallur,Harassment / Cyber‑crime,2025
Pallavaram,Theft / Robbery,2024
Kodambakkam,Theft / Robbery,2022
Vadapalani,Harassment / Cyber‑crime,2021
Egmore,Other Crime,2025
Vadapalani,Harassment / Cyber‑crime,2023
Porur,Chain Snatching / Theft,2025
Royapettah,Kidnapping / Abduction,2024
T Nagar,Assault / Attack,2024
Nungambakkam,Theft / Robbery,2025
Purasawalkam,Harassment / Cyber‑crime,2024
T Nagar,Harassment / Cyber‑crime,2023
Purasawalkam,Harassment / Cyber‑crime,2024
Saidapet,Assault / Attack,2025
Royapettah,Assault / Attack,2023
Purasawalkam,Theft / Robbery,2023
Porur,Assault / Attack,2020
Sholinganallur,Theft / Robbery,2026
Mylapore,Chain Snatching / Theft,2020
Mylapore,Theft / Robbery,2024
Mambalam,Rape / Sexual Assault,2023
Velachery,Assault / Attack,2023
Vadapalani,Harassment / Cyber‑crime,2024
Koyambedu,Assault / Attack,2020
Thiruvanmiyur,Theft / Robbery,2024
Egmore,Assault / Attack,2025
Guindy,Theft / Robbery,2025
Thiruvanmiyur,Chain Snatching / Theft,2021
Egmore,Chain Snatching / Theft,2025
Nungambakkam,Assault / Attack,2024
Vadapalani,Theft / Robbery,2025
Perambur,Harassment / Cyber‑crime,2023
Nungambakkam,Murder,2024
Koyambedu,Assault / Attack,2026
Medavakkam,Theft / Robbery,2025
Anna Nagar,Chain Snatching / Theft,2023
Medavakkam,Murder,2022
Koyambedu,Assault / Attack,2023
Purasawalkam,Harassment / Cyber‑crime,2023
Sholinganallur,Assault / Attack,2022
Pallavaram,Rape / Sexual Assault,2022
Porur,Other Crime,2025
Medavakkam,Assault / Attack,2020
Velachery,Harassment / Cyber‑crime,2024
Porur,Theft / Robbery,2021
Besant Nagar,Assault / Attack,2022
Urapakkam,Assault / Attack,2020
Egmore,Rape / Sexual Assault,2022
Medavakkam,Rape / Sexual Assault,2025
Chetpet,Chain Snatching / Theft,2025
Tambaram,Theft / Robbery,2022
Tambaram,Theft / Robbery,2023
Adyar,Assault / Attack,2023
Tambaram,Kidnapping / Abduction,2025
Egmore,Rape / Sexual Assault,2025
Kodambakkam,Assault / Attack,2024
Vadapalani,Rape / Sexual Assault,2024
Egmore,Murder,2025
Urapakkam,Rape / Sexual Assault,2020
Besant Nagar,Chain Snatching / Theft,2023
Pallavaram,Rape / Sexual Assault,2026
Porur,Murder,2025
Chepauk,Assault / Attack,2024
Perambur,Chain Snatching / Theft,2024
Mambalam,Theft / Robbery,2022
Chetpet,Assault / Attack,2024
Tambaram,Murder,2024
Mambalam,Assault / Attack,2023
Mylapore,Assault / Attack,2025
Thiruvanmiyur,Assault / Attack,2025
Mambalam,Theft / Robbery,2021
Medavakkam,Theft / Robbery,2023
Urapakkam,Rape / Sexual Assault,2023
Purasawalkam,Theft / Robbery,2024
Tambaram,Rape / Sexual Assault,2022
Teynampet,Kidnapping / Abduction,2024
Saidapet,Other Crime,2025
Saidapet,Other Crime,2023
Medavakkam,Chain Snatching / Theft,2026
T Nagar,Harassment / Cyber‑crime,2026
Nungambakkam,Harassment / Cyber‑crime,2021
Nungambakkam,Theft / Robbery,2022
Teynampet,Harassment / Cyber‑crime,2026
Guindy,Assault / Attack,2026
Chromepet,Assault / Attack,2020
Adyar,Kidnapping / Abduction,2020
Teynampet,Theft / Robbery,2021
Medavakkam,Theft / Robbery,2026
Sholinganallur,Chain Snatching / Theft,2021
Porur,Rape / Sexual Assault,2024
Sholinganallur,Assault / Attack,2025
Nungambakkam,Chain Snatching / Theft,2020
Medavakkam,Harassment / Cyber‑crime,2024
Velachery,Assault / Attack,2022
Teynampet,Theft / Robbery,2025
Pallavaram,Theft / Robbery,2022
Adyar,Chain Snatching / Theft,2024
Sholinganallur,Assault / Attack,2024
Urapakkam,Assault / Attack,2022
Porur,Rape / Sexual Assault,2020
Mylapore,Murder,2023
Teynampet,Other Crime,2022
Alandur,Theft / Robbery,2025
Medavakkam,Harassment / Cyber‑crime,2025
Royapettah,Rape / Sexual Assault,2023
Purasawalkam,Harassment / Cyber‑crime,2024
Teynampet,Chain Snatching / Theft,2024
Adyar,Assault / Attack,2025
Porur,Rape / Sexual Assault,2023
Royapettah,Assault / Attack,2022
Adyar,Kidnapping / Abduction,2022
Urapakkam,Assault / Attack,2024
Chetpet,Chain Snatching / Theft,2023
Egmore,Harassment / Cyber‑crime,2023
Urapakkam,Chain Snatching / Theft,2020
Alandur,Harassment / Cyber‑crime,2025
Thiruvanmiyur,Rape / Sexual Assault,2022
Royapettah,Theft / Robbery,2021
Velachery,Theft / Robbery,2023
Perambur,Chain Snatching / Theft,2022
Thiruvanmiyur,Kidnapping / Abduction,2024
Kodambakkam,Harassment / Cyber‑crime,2023
Chetpet,Theft / Robbery,2023
Ashok Nagar,Theft / Robbery,2024
Chepauk,Kidnapping / Abduction,2022
Teynampet,Assault / Attack,2021
Adyar,Theft / Robbery,2025
T Nagar,Harassment / Cyber‑crime,2023
Koyambedu,Murder,2023
Thiruvanmiyur,Theft / Robbery,2020
Ashok Nagar,Assault / Attack,2023
Pallavaram,Rape / Sexual Assault,2024
Koyambedu,Other Crime,2024
Thiruvanmiyur,Theft / Robbery,2025
Thiruvanmiyur,Rape / Sexual Assault,2021
Pallavaram,Theft / Robbery,2022
Adyar,Kidnapping / Abduction,2025
Koyambedu,Assault / Attack,2026
Nungambakkam,Assault / Attack,2021
Chromepet,Murder,2023
Mylapore,Murder,2022
Chromepet,Assault / Attack,2020
Medavakkam,Chain Snatching / Theft,2022
Besant Nagar,Chain Snatching / Theft,2021
Thiruvanmiyur,Rape / Sexual Assault,2025
Sholinganallur,Assault / Attack,2024
Chetpet,Chain Snatching / Theft,2021
Thiruvanmiyur,Theft / Robbery,2020
Ashok Nagar,Chain Snatching / Theft,2025
Urapakkam,Rape / Sexual Assault,2021
Nungambakkam,Chain Snatching / Theft,2024
Egmore,Kidnapping / Abduction,2022
Sholinganallur,Chain Snatching / Theft,2024
Saidapet,Harassment / Cyber‑crime,2022
Medavakkam,Theft / Robbery,2020
Pallavaram,Chain Snatching / Theft,2022
Guindy,Theft / Robbery,2021
Mylapore,Theft / Robbery,2023
Mambalam,Harassment / Cyber‑crime,2024
Porur,Kidnapping / Abduction,2022
Sholinganallur,Chain Snatching / Theft,2020
Porur,Theft / Robbery,2024
Velachery,Kidnapping / Abduction,2024
Kodambakkam,Harassment / Cyber‑crime,2026
Thiruvanmiyur,Rape / Sexual Assault,2024
Kodambakkam,Theft / Robbery,2023
Koyambedu,Theft / Robbery,2024
Chromepet,Theft / Robbery,2026
Mambalam,Other Crime,2025
Chromepet,Harassment / Cyber‑crime,2022
Chepauk,Harassment / Cyber‑crime,2022
Mambalam,Other Crime,2022
Mambalam,Theft / Robbery,2024
T Nagar,Chain Snatching / Theft,2025
Egmore,Assault / Attack,2024
Medavakkam,Chain Snatching / Theft,2020
Saidapet,Theft / Robbery,2025
Porur,Chain Snatching / Theft,2025
T Nagar,Theft / Robbery,2022
Kodambakkam,Theft / Robbery,2024
Pallavaram,Kidnapping / Abduction,2023
Ashok Nagar,Theft / Robbery,2025
Medavakkam,Harassment / Cyber‑crime,2025
Guindy,Assault / Attack,2024
Thiruvanmiyur,Harassment / Cyber‑crime,2024
Medavakkam,Theft / Robbery,2025
Besant Nagar,Rape / Sexual Assault,2023
Chetpet,Theft / Robbery,2022
Egmore,Assault / Attack,2025
Guindy,Theft / Robbery,2022
Alandur,Theft / Robbery,2023
Royapettah,Theft / Robbery,2025
Guindy,Rape / Sexual Assault,2025
Chromepet,Assault / Attack,2023
Perambur,Chain Snatching / Theft,2022
Chromepet,Theft / Robbery,2023
Medavakkam,Assault / Attack,2022
Chetpet,Harassment / Cyber‑crime,2021
Chepauk,Assault / Attack,2025
Koyambedu,Harassment / Cyber‑crime,2022
Tambaram,Assault / Attack,2023
Adyar,Assault / Attack,2023
Anna Nagar,Murder,2026
T Nagar,Harassment / Cyber‑crime,2023
Chetpet,Harassment / Cyber‑crime,2020
Adyar,Murder,2020
Guindy,Theft / Robbery,2024
Koyambedu,Other Crime,2024
Guindy,Assault / Attack,2023
Vadapalani,Assault / Attack,2023
Chetpet,Chain Snatching / Theft,2020
Besant Nagar,Harassment / Cyber‑crime,2024
T Nagar,Assault / Attack,2024
Koyambedu,Kidnapping / Abduction,2021
Tambaram,Chain Snatching / Theft,2021
Chepauk,Assault / Attack,2021
Mylapore,Assault / Attack,2021
Chepauk,Theft / Robbery,2024
Chromepet,Other Crime,2021
Adyar,Harassment / Cyber‑crime,2022
Sholinganallur,Rape / Sexual Assault,2021
Thiruvanmiyur,Chain Snatching / Theft,2026
Guindy,Assault / Attack,2025
Ashok Nagar,Rape / Sexual Assault,2022
Purasawalkam,Assault / Attack,2022
Nungambakkam,Assault / Attack,2022
Besant Nagar,Chain Snatching / Theft,2023
Sholinganallur,Theft / Robbery,2020
Perambur,Chain Snatching / Theft,2024
Tambaram,Assault / Attack,2024
Teynampet,Rape / Sexual Assault,2025
Tambaram,Other Crime,2021
Medavakkam,Assault / Attack,2025
Tambaram,Theft / Robbery,2025
Besant Nagar,Assault / Attack,2021
Ashok Nagar,Chain Snatching / Theft,2023
Adyar,Theft / Robbery,2021
Adyar,Theft / Robbery,2022
Urapakkam,Rape / Sexual Assault,2022
Royapettah,Theft / Robbery,2024
Guindy,Kidnapping / Abduction,2023
Kodambakkam,Assault / Attack,2026
Velachery,Theft / Robbery,2021
Perambur,Theft / Robbery,2026
Saidapet,Theft / Robbery,2022
Medavakkam,Chain Snatching / Theft,2025
Chromepet,Theft / Robbery,2022
Guindy,Other Crime,2021
Guindy,Assault / Attack,2025
Vadapalani,Theft / Robbery,2022
Mambalam,Chain Snatching / Theft,2024
Egmore,Assault / Attack,2024
Perambur,Harassment / Cyber‑crime,2023
Pallavaram,Other Crime,2023
Mylapore,Rape / Sexual Assault,2025
Chromepet,Rape / Sexual Assault,2020
Nungambakkam,Harassment / Cyber‑crime,2024
Urapakkam,Theft / Robbery,2025
Nungambakkam,Theft / Robbery,2020
Purasawalkam,Murder,2021
Mambalam,Murder,2025
Mambalam,Kidnapping / Abduction,2023
Vadapalani,Rape / Sexual Assault,2023
Ashok Nagar,Assault / Attack,2021
Chetpet,Harassment / Cyber‑crime,2024
Urapakkam,Assault / Attack,2021
Pallavaram,Murder,2023
Kodambakkam,Kidnapping / Abduction,2025
Thiruvanmiyur,Murder,2022
Nungambakkam,Kidnapping / Abduction,2023
Anna Nagar,Chain Snatching / Theft,2026
Alandur,Assault / Attack,2024
Guindy,Assault / Attack,2025
Egmore,Assault / Attack,2023
Royapettah,Theft / Robbery,2025
Koyambedu,Chain Snatching / Theft,2020
Thiruvanmiyur,Chain Snatching / Theft,2021
Saidapet,Theft / Robbery,2022
Medavakkam,Harassment / Cyber‑crime,2023
Egmore,Chain Snatching / Theft,2025
Besant Nagar,Other Crime,2022
Kodambakkam,Assault / Attack,2024
Perambur,Assault / Attack,2025
Chromepet,Theft / Robbery,2024
Guindy,Other Crime,2023
Pallavaram,Rape / Sexual Assault,2024
Chetpet,Assault / Attack,2022
Mambalam,Theft / Robbery,2020
Vadapalani,Theft / Robbery,2026
Guindy,Assault / Attack,2021
Alandur,Other Crime,2020
Purasawalkam,Rape / Sexual Assault,2025
Medavakkam,Assault / Attack,2022
Ashok Nagar,Rape / Sexual Assault,2024
Vadapalani,Theft / Robbery,2022
Pallavaram,Assault / Attack,2023
Royapettah,Assault / Attack,2022
Sholinganallur,Theft / Robbery,2022
Urapakkam,Theft / Robbery,2023
Sholinganallur,Rape / Sexual Assault,2025
Thiruvanmiyur,Theft / Robbery,2024
Anna Nagar,Other Crime,2026
Tambaram,Chain Snatching / Theft,2020
Purasawalkam,Theft / Robbery,2024
Chromepet,Assault / Attack,2024
Chepauk,Chain Snatching / Theft,2026
Thiruvanmiyur,Murder,2020
Mylapore,Chain Snatching / Theft,2024
Ashok Nagar,Chain Snatching / Theft,2025
Urapakkam,Rape / Sexual Assault,2022
Chetpet,Theft / Robbery,2025
Teynampet,Other Crime,2020
Chromepet,Assault / Attack,2025
Anna Nagar,Murder,2026
Mambalam,Theft / Robbery,2024
Perambur,Assault / Attack,2023
Pallavaram,Harassment / Cyber‑crime,2020
Thiruvanmiyur,Harassment / Cyber‑crime,2026
Koyambedu,Other Crime,2023
Urapakkam,Theft / Robbery,2020
Thiruvanmiyur,Assault / Attack,2024
Urapakkam,Assault / Attack,2023
Guindy,Assault / Attack,2021
Purasawalkam,Theft / Robbery,2022
Guindy,Other Crime,2020
Purasawalkam,Chain Snatching / Theft,2024
Teynampet,Assault / Attack,2024
Chetpet,Harassment / Cyber‑crime,2024
